,Olig,astrocytes,eNeuron,endo_mural,iNeuron,microglia
spot_1,0.09253156232741291,0.1985286460043677,0.08350066374406129,0.41285877253662123,0.08192502910850916,0.1306553262790276
spot_2,0.062305381328147405,0.2154771898605776,0.187840581771602,0.20055111219999813,0.11060579199440114,0.22321994284527377
spot_3,0.05870111343573996,0.190288236957197,0.20782413201586716,0.23193672131534668,0.11750026828337728,0.19374952799247186
spot_4,0.06931580251937265,0.18481342238534998,0.21847182476291466,0.24402205688169532,0.10576449389944467,0.17761239955122263
spot_5,0.05636766007970829,0.24351648398974807,0.201512550612301,0.22392831414414535,0.1078202086887003,0.16685478248539715
spot_6,0.04721624122911249,0.21140470052896063,0.13755992547606985,0.3127048854633388,0.13697559715196872,0.15413865015054953
spot_7,0.057577925455759356,0.3018205848005967,0.18569411005485956,0.20271750358759183,0.09444673827634555,0.15774313782484706
spot_8,0.0527967190533365,0.18309894620904577,0.21645707597243471,0.20918669528151115,0.15497459145590917,0.18348597202776273
spot_9,0.07466301976804682,0.1863885413515097,0.22101540725262145,0.2320669919368443,0.1240896262054959,0.1617764134854817
spot_10,0.058363051917491776,0.19363015538017703,0.26877017916081974,0.19685718800938437,0.12206003876668826,0.16031938676543875
spot_11,0.0660537249778105,0.1835697161797522,0.25934047321643583,0.21222561282855532,0.11602518469014536,0.16278528810730056
spot_12,0.05126655592598395,0.1800668507731945,0.1383246757516278,0.23234953184306056,0.21240045066011418,0.18559193504601884
spot_13,0.14882017915285153,0.22498862919128856,0.1782415323022354,0.18402154838655954,0.11184394020444356,0.15208417076262154
spot_14,0.05458324625296396,0.30654533574229126,0.04898590870486504,0.300054487907375,0.12100194445922152,0.16882907693328322
spot_15,0.06011312502290768,0.19795067385500564,0.17455270719891217,0.2614354595973453,0.12176932792680702,0.18417870639902226
spot_16,0.05682763581595834,0.19240946566632322,0.1972721435342088,0.25090333751576677,0.11685870559335315,0.18572871187438983
spot_17,0.056725634139289514,0.2292167397220468,0.20357129323193834,0.22999853894007424,0.10015560178852739,0.1803321921781237
spot_18,0.06272131340053416,0.16847945432003938,0.24827581529863438,0.23382146458655945,0.1032082150496665,0.18349373734456614
spot_19,0.06131968330247584,0.1886860795972081,0.25558522952830054,0.21862415360216889,0.10582707212610255,0.16995778184374397
spot_20,0.05039825972062573,0.19036100265975903,0.26274212714622036,0.20626875399078418,0.10441468235200994,0.18581517413060084
spot_21,0.05925057929771239,0.19915813590343598,0.2147087573859642,0.2202601694800911,0.13823064137936436,0.1683917165534319
spot_22,0.06485300145277115,0.2082996246364763,0.2248701742817844,0.2297700977360912,0.12146786509041183,0.15073923680246504
spot_23,0.06766270006105493,0.20637264709188813,0.25379914900182127,0.19833610903308344,0.1148185588656852,0.15901083594646723
spot_24,0.1479995804760258,0.16689745037556694,0.21335884033445426,0.21043712514661228,0.09503894652012887,0.16626805714721188
spot_25,0.06569299788367171,0.17901051503254714,0.21010708018671562,0.25884034932759775,0.13187503531922046,0.15447402225024742
spot_26,0.09417291636741502,0.21069733298537996,0.19223627635287185,0.2271638993572841,0.11560219445663937,0.16012738048040975
spot_27,0.07158301766764286,0.19607997924317613,0.1888058405149756,0.21920182408524513,0.17380443781115915,0.15052490067780105
spot_28,0.051616054618824195,0.5046155731616436,0.04052528648549299,0.21715396321922925,0.04293773849128927,0.14315138402352068
spot_29,0.06834071825076567,0.1755240815598947,0.19584256636062672,0.2528884376011924,0.11583041070341149,0.191573785524109
spot_30,0.06950350341178449,0.18034390890375593,0.2017129047483759,0.2394486303216226,0.13024230283677946,0.17874874977768165
spot_31,0.06242787310693059,0.19561953495920453,0.23329084309993256,0.21764960655032597,0.10415589216046939,0.18685625012313697
spot_32,0.060758608518698354,0.21581515059686493,0.26263678405261304,0.22223642402712582,0.08654535175111236,0.15200768105358559
spot_33,0.050027979117813176,0.20424517377233609,0.2820306982223341,0.22748774276632547,0.08676393899844262,0.1494444671227486
spot_34,0.062055087837021856,0.21743825857052357,0.21295535975812194,0.1797849020802099,0.16737506430093485,0.16039132745318777
spot_35,0.08741499675779543,0.21231954658436844,0.17637863171583185,0.28460450112663627,0.10992422898301624,0.12935809483235183
spot_36,0.05714055632991755,0.24039843296407554,0.22771759550685358,0.20409784608995063,0.13136293018580686,0.13928263892339598
spot_37,0.061958903732786494,0.20025645339477174,0.29149259255190474,0.19296543304671468,0.10298534503529472,0.15034127223852758
spot_38,0.11732119523552925,0.22099626626474658,0.20655417700967046,0.21212197917274656,0.09090384767769222,0.15210253463961496
spot_39,0.06422854638732362,0.18049251131960045,0.24394218149964203,0.1976688364405294,0.13549332367025502,0.17817460068264934
