"","spot_1","spot_2","spot_3","spot_4","spot_5","spot_6","spot_7","spot_8","spot_9","spot_10","spot_11","spot_12","spot_13","spot_14","spot_15","spot_16","spot_17","spot_18","spot_19","spot_20","spot_21","spot_22","spot_23","spot_24","spot_25","spot_26","spot_27","spot_28","spot_29","spot_30","spot_31","spot_32","spot_33","spot_34","spot_35","spot_36","spot_37","spot_38","spot_39","spot_40","spot_41","spot_42","spot_43","spot_44","spot_45","spot_46","spot_47","spot_48","spot_49","spot_50","spot_51","spot_52","spot_53","spot_54","spot_55","spot_56","spot_57","spot_58","spot_59","spot_60","spot_61","spot_62","spot_63","spot_64","spot_65","spot_66","spot_67","spot_68","spot_69"
"Tshz1",0,1,1,3,6,1,2,0,1,4,3,1,0,0,4,4,7,7,6,3,0,0,2,3,0,2,4,1,0,3,3,3,1,2,5,0,2,3,3,5,1,4,1,0,2,5,4,0,1,1,1,2,1,0,1,2,0,0,1,4,8,0,3,0,3,2,0,2,1
"Fnbp1l",0,1,3,2,7,0,1,1,3,3,1,0,2,0,0,2,2,4,0,3,0,5,3,0,2,1,2,0,6,4,1,2,3,2,1,2,3,5,1,3,0,3,7,2,3,0,0,0,1,1,1,2,1,1,3,1,1,0,2,3,1,0,2,1,2,1,3,2,1
"Adamts15",0,1,1,1,3,0,1,2,2,3,1,0,0,0,0,0,0,3,1,3,1,0,2,1,1,1,1,0,0,2,2,3,2,3,1,2,0,0,0,2,1,0,0,3,1,2,0,2,1,3,2,1,0,2,2,2,0,0,0,1,2,0,1,0,0,5,0,1,1
"Cldn12",0,1,0,2,1,0,2,4,1,1,2,2,1,2,2,0,1,1,2,2,0,2,1,1,0,0,4,2,2,0,0,2,4,0,0,3,0,1,3,2,3,0,0,0,1,0,1,0,0,0,1,2,0,3,0,2,0,0,1,1,0,1,0,0,1,0,2,3,1
"Rxfp1",1,3,5,4,1,0,2,0,2,5,4,0,2,1,0,4,2,5,4,2,2,2,4,1,0,1,2,2,1,1,1,3,1,1,1,1,3,2,6,1,3,2,0,3,3,0,0,3,3,0,1,0,1,1,0,1,0,3,3,1,2,1,3,0,6,1,2,1,2
"Sema3c",1,1,2,1,4,1,1,1,1,0,1,1,2,2,1,1,3,1,0,2,1,1,0,1,1,0,2,1,7,2,2,2,3,2,2,2,1,1,1,1,0,3,3,1,1,2,0,0,1,0,0,2,0,1,1,2,0,1,2,0,4,0,1,1,0,0,4,3,1
"Apbb1ip",2,0,2,0,1,0,0,0,0,0,0,2,1,0,0,0,1,0,0,1,0,2,1,2,1,0,0,0,3,1,2,0,3,0,0,0,3,1,2,1,1,0,3,1,2,0,1,0,0,0,0,1,1,0,1,0,0,2,2,0,2,0,2,2,1,2,0,2,2
"Frem2",0,5,2,1,3,4,0,2,1,6,1,2,2,2,2,2,2,0,1,2,2,1,1,6,2,2,3,3,1,1,2,5,2,2,0,2,1,5,3,4,3,1,3,2,5,2,1,3,1,0,2,1,2,3,2,1,1,3,0,1,3,0,1,3,1,0,2,0,0
"Deptor",0,1,3,0,0,0,0,2,4,0,2,1,0,0,1,3,1,1,1,3,2,3,1,0,0,0,0,1,1,1,1,3,1,2,2,2,1,0,2,0,0,0,0,2,1,1,2,1,0,1,1,3,1,2,0,2,1,1,1,0,0,1,1,4,1,0,1,0,1
"Klhl13",0,3,3,2,1,2,1,1,1,1,1,0,2,4,2,2,3,2,2,1,4,2,1,3,3,0,0,0,2,1,2,2,5,2,1,1,1,1,2,3,2,1,3,4,1,1,2,2,1,3,2,4,2,5,2,1,0,2,3,2,1,0,2,1,3,2,2,1,1
"Tnfaip8l3",0,3,2,1,2,1,1,2,2,6,2,2,2,2,0,4,0,0,0,0,1,2,0,0,4,3,3,0,1,1,2,1,0,2,4,0,3,1,3,0,1,2,3,1,0,1,2,1,0,4,4,2,4,8,5,1,1,4,3,3,1,1,3,2,1,1,0,1,4
"Ascl1",0,1,0,0,3,0,0,1,0,0,3,0,2,2,1,1,3,0,2,2,0,0,0,1,5,1,0,0,3,1,2,1,1,2,1,0,0,1,2,0,1,1,1,2,0,1,1,1,2,0,0,4,0,0,1,2,0,1,0,0,0,0,0,0,2,4,2,2,1
"Atp1b2",2,7,8,10,22,9,15,3,5,3,8,8,20,28,10,7,12,10,19,14,8,20,9,10,10,12,7,36,8,13,14,15,27,21,20,18,13,13,7,16,15,26,10,6,8,20,22,3,15,20,16,12,12,12,5,3,3,5,7,14,28,0,1,9,15,8,6,27,58
"Tmem132e",0,3,3,0,2,0,2,0,0,0,1,0,1,0,2,1,1,1,0,0,0,0,0,0,0,1,4,1,2,2,1,0,0,2,1,1,2,0,1,3,0,2,7,0,0,1,1,0,0,0,0,0,0,2,4,0,0,0,0,0,1,0,0,4,2,0,5,1,3
"Prkar2b",1,4,1,3,1,2,1,1,1,1,1,0,5,0,3,2,2,0,1,1,1,2,1,0,2,3,3,0,4,4,4,0,0,0,1,0,2,2,2,3,1,0,2,1,3,2,1,3,3,2,2,2,0,1,2,1,1,1,4,2,2,2,3,3,2,6,1,0,0
"Necab1",0,4,3,0,1,0,2,3,2,1,0,1,1,2,3,1,2,1,4,0,1,2,2,3,1,1,4,0,3,0,1,1,2,0,1,0,2,1,4,3,3,0,0,1,3,1,4,0,1,0,2,2,2,2,4,0,1,3,4,2,0,0,1,2,1,4,4,1,0
"Nr2f2",0,2,3,4,2,1,3,3,0,0,1,1,1,2,2,1,2,1,3,3,1,2,0,1,1,2,1,2,0,0,1,3,0,2,0,1,0,2,2,2,5,2,1,2,0,1,1,1,1,0,1,3,1,0,2,0,0,0,2,1,2,1,1,1,2,1,3,2,3
"Shisa9",0,0,5,1,6,0,3,3,3,4,1,2,2,2,1,1,1,0,3,5,3,0,0,2,6,3,0,0,3,2,3,2,3,4,2,3,1,1,2,1,2,2,1,5,2,2,3,2,3,3,3,3,2,1,4,0,1,1,1,3,5,1,2,3,3,1,6,0,1
"Vat1l",0,2,1,2,2,0,0,0,3,1,4,2,1,0,0,3,0,2,0,0,2,2,1,1,1,0,0,0,1,1,2,2,0,1,0,2,0,0,2,0,1,0,2,0,1,1,1,4,1,0,0,2,1,0,5,1,0,1,0,0,0,2,0,1,0,0,1,0,2
"Pcdh18",0,1,3,0,1,2,1,4,1,0,1,1,1,1,0,2,0,0,1,2,0,4,2,1,2,2,2,0,1,3,0,0,1,0,1,1,2,1,1,0,3,0,2,4,0,1,2,1,1,0,2,2,4,2,5,1,0,4,1,1,5,0,1,3,0,0,0,2,0
