"","Astrocyte","Endothelial","Ependymal","Excitatory","Inhibitory","Microglia","Mural","OD Immature","OD Mature"
"spot1",3.14793301050371e-09,1.1732581048259e-09,0.00577972667913095,0.60421883130903,0.387568003432192,0.00243343208254559,3.90637590176848e-10,1.13893299331644e-09,6.46339660287652e-10
"spot2",0.520724843710985,0.000569075429637524,0.311529576082815,0.164537571103711,8.58669659803674e-08,1.86999428677121e-08,0.00250422431723095,0.000133752577217166,8.52211493758407e-07
"spot3",0.418090758244219,0.0122859322785805,0.305003098240902,0.247818286073351,2.99200625304093e-07,8.15047130121508e-08,9.49280470230043e-08,0.0168012194976779,2.30031883972028e-07
"spot4",0.0238715540352171,1.68878655497669e-08,8.20712435600868e-07,0.166878085357283,0.809249288194693,1.52808349310788e-08,1.21733297503139e-08,1.86350739349755e-07,2.10076015163033e-08
"spot5",0.0687713282251158,0.199316559533244,0.125140886468522,0.0552245370181503,2.7773631110263e-09,0.00658121177472931,6.60176646489623e-10,9.77190010855139e-10,0.544965472565509
"spot6",0.00924725633575484,1.45371928808293e-10,3.83729275192939e-10,0.163812263715073,0.826940478804904,6.71087991708070e-11,2.82271553226118e-10,1.44765479302876e-10,1.21021649481594e-10
"spot7",0.145022312051484,0.00171320555539071,0.00859659873841227,0.81542765949315,2.47292995361171e-09,0.00368721806069474,0.00109894186143216,0.0244540614589855,3.075215388639e-10
"spot8",0.00946163041970271,4.15973032758831e-08,3.14725184159169e-07,0.655865088156094,0.30461253575599,0.0211903419432923,0.00886995780438181,5.76402222604562e-08,3.19578297770939e-08
"spot9",0.0298987742629247,0.0086080281946475,0.00203192815072125,0.199899472810996,0.351551864769899,0.000221898255077066,0.00385455922711002,0.252111271883953,0.151822202444672
"spot10",0.374377915639076,4.66503744692797e-10,6.49589103801428e-09,0.116259493432425,0.484679896300221,3.77823417221861e-10,4.37489065163964e-10,0.0246826860657236,7.84847821564393e-10
"spot11",0.0994099719623708,0.00375064183596416,3.54783587865186e-07,0.638728147201088,0.0675334955622556,0.0006996091032603,0.00527488186734817,0.184602867926794,2.9757331259697e-08
"spot12",0.180788675230476,0.00392341873586458,2.01693359488223e-08,0.402810624034657,0.398232963957729,0.000359076198708231,0.0138852155928524,3.34450704792169e-09,2.73587028886776e-09
"spot13",0.00444827867604993,0.00225117731792159,0.00179019251018712,0.585335089896865,0.401581740269513,1.01735351268661e-07,0.00459285315794443,4.17228082194766e-07,1.49208085651787e-07
"spot14",0.0389729598374138,0.00173214431011189,2.69084730299308e-09,0.753605773556423,0.0801501610510078,5.48529605406992e-10,2.45358031555204e-09,0.122558691995909,0.00298026355617721
"spot15",0.0891257599436497,0.00592641222789922,3.40128116107586e-10,0.539244504624407,0.216557302198326,8.1674291342329e-11,0.00114630565890551,0.147999714862612,6.23986344664687e-11
"spot16",1.84773489392271e-08,0.00183175443055851,0.0141986053594082,0.70738717980313,0.240129825008811,0.00265611541683275,5.67984836791152e-10,3.79685291453671e-09,0.0337964971390731
"spot17",0.220464301734136,0.00382237421284406,9.3049407671266e-08,0.702835734764732,0.0727831052312327,9.4353835019906e-05,1.81866161912033e-08,1.22600702087761e-08,6.72594105324228e-09
"spot18",0.0598085517542488,0.228912149761979,1.40905075475052e-07,0.181572733915639,0.467230329986412,0.0624760517886576,1.25935101339108e-08,1.2642397529651e-08,1.66520802040542e-08
"spot19",0.0116933561289261,1.9251387815348e-09,5.72002702179124e-09,0.903939713908493,0.0812899610296822,2.05601586261667e-09,0.00307695677566569,2.1075841797546e-09,3.48467271514079e-10
"spot20",0.0163599318093855,0.0168159962045122,1.46377818545902e-07,9.02229034609035e-08,0.537123121056682,5.97029391026951e-09,0.00083359314075017,3.28843745961028e-08,0.42886708233328
"spot21",0.0265724661374541,6.85762197238476e-10,0.00141479250232773,0.686727011847518,0.28333993051224,2.91371314669846e-10,0.00194579552248512,2.06436990174566e-09,4.36471328264058e-10
"spot22",0.411248792939799,0.00386500268065682,3.67163642722763e-07,0.0882629598223677,7.76903667080625e-07,0.000649675239453204,0.00503677051815778,1.8700664695438e-07,0.490935467725609
"spot23",0.163885102397025,0.129305466497704,1.14766443631572e-08,0.214474826674138,0.435846145896562,3.66910962668996e-10,0.0120989681879423,7.93783810348212e-10,0.0443894777092901
"spot24",0.0400854826615283,0.13828421141116,2.38143421960384e-07,0.396935194055337,0.128253301039981,0.0459843191739311,0.00222391481820399,0.186491035047838,0.0617423036485977
"spot25",0.352474723375458,0.0106319260120718,1.06967360009949e-08,0.458620782956533,0.104684575690192,0.00962973818205857,0.00733951093265486,8.39020028179809e-10,0.0566187313152759
"spot26",0.0269920836039132,0.00707456049547542,6.19899341515116e-08,0.785887869091395,8.20626328290082e-07,3.06852712654176e-05,0.00699443186722011,0.173019479615023,7.43944567959787e-09
"spot27",0.0332530909776307,0.00236596347467826,7.88456837841174e-08,0.693043923489901,0.264176243092527,1.66609802841171e-08,0.00102281070132312,0.00613786506815439,7.68912212088575e-09
"spot28",0.17531129647365,0.137680291497071,3.53240990959921e-09,0.242288019133267,0.2090493009166,0.0141016527065044,0.00608353891959093,0.215485896343613,4.77294004085593e-10
"spot29",0.269229970685298,0.00881310967450913,4.69676135554351e-08,0.706920130152629,9.70701270503192e-07,0.00633322987861597,1.29935056587379e-08,0.00870250335594703,2.5590611076127e-08
"spot30",0.83768276215489,4.3327999257641e-10,3.69877680984446e-09,0.154714529655471,1.64042830692883e-08,0.00665485075756278,0.000947834850039407,1.25534155521442e-09,7.90354875434524e-10
"spot31",0.0700639253597994,0.00845536885227925,0.0163723286082606,0.564903352770882,0.333189155938378,8.74523218784604e-09,0.0070157815935995,6.71496481655335e-08,1.09819209218268e-08
"spot32",0.0377315993244271,0.0563743844810552,0.0289182856632422,0.451801955551386,0.299665037576893,0.0449912932338399,0.000502287346278224,4.79341876058733e-08,0.080015108888692
"spot33",0.14101732804118,0.245213152725034,1.95176523673518e-08,0.102086530369146,0.496169930458672,0.00598205093091655,0.0095309817176273,5.49662460397154e-09,7.43147166816751e-10
"spot34",0.0595712461877307,0.00310669143623421,8.56913546828789e-09,0.478300348348201,0.376988341443149,0.00131616404883924,0.00042714229909266,0.0802900570937545,5.73862953411838e-10
"spot35",0.0565339605920202,5.51492904577452e-09,0.00889544789678916,0.736263795365752,0.187833343506973,1.2211837966178e-07,0.0104733018751307,1.17636588454391e-08,1.13663670414872e-08
"spot36",0.00194706897438765,4.30911952206675e-09,0.0380063367365517,0.950722491633788,0.00932408024485183,2.53408789497561e-09,3.55188554672975e-09,5.94586959602227e-09,6.06945847791465e-09
"spot37",0.0640839008852478,0.195508843348491,0.0328044749695893,0.527246050052236,0.175693574739139,6.75895188507542e-09,0.00466311365157069,2.60449717553893e-08,9.54980270365494e-09
"spot38",1.33431974896589e-08,2.89449127337365e-09,0.0266626682990795,0.738248374848315,0.0904188374222769,2.25420171957876e-08,6.3277736330979e-09,0.144670067118263,7.20458693491815e-09
"spot39",0.300241288994253,2.9541318947772e-07,2.49259431049755e-06,0.696041957540761,9.77788811068121e-06,0.00370291513061692,4.39730714917851e-07,5.05525085136126e-07,3.27182958493108e-07
"spot40",0.286797433324295,3.9528037860091e-10,0.078650817107184,0.37776183782865,7.16115102958146e-09,0.114476884270162,0.000505173512638168,2.76476387776242e-09,0.141807843635875
"spot41",0.200945094192474,0.00585788753737376,1.79406902975613e-08,0.201496660913904,0.493616984690655,0.0220697431624949,0.00197400665141395,3.8465192894879e-09,0.0740396010644743
"spot42",0.0545901193927966,0.00134485438826423,1.49145044806027e-08,0.523416958094717,0.420648043125069,4.1461495505811e-09,1.15771089954367e-09,3.41092981140952e-09,1.36985886204492e-09
"spot43",0.0810122274510332,0.00140036253686369,1.95194108514136e-08,0.384099405372225,0.493850978411813,0.00278751684331847,0.00904001100793644,0.0278094694613645,9.39603465520382e-09
"spot44",0.17045613729883,0.000512323321181973,4.91981001919854e-09,0.428275541376661,0.39233361363319,0.00347814453611277,0.000468136260525394,0.00447608644036352,1.22133261813675e-08
"spot45",0.250218819959055,0.00268883672918191,5.75713878978309e-09,0.319327116650703,0.427059836278978,0.000705382889820194,4.0324676080508e-10,7.82564851824126e-10,5.49311259282976e-10
"spot46",0.0346930976470056,0.278001456413785,5.91748764252269e-08,0.096309632889244,0.377430402341383,2.75733765298958e-08,0.00790632753279132,0.205658984087568,1.23399700055944e-08
"spot47",1.07740171699083e-07,4.57080450063775e-08,0.00521345728314192,0.59527409822834,0.398038938675881,1.58068606718515e-08,0.00147316972985337,1.01256515187227e-07,6.55711913164881e-08
"spot48",0.153500489505128,0.013253135157218,1.8051926004317e-07,0.553956134539768,0.257831182525871,0.00101125843293535,2.5784927160849e-08,1.102374838245e-07,0.0204474832974082
"spot49",0.0634034806234858,0.0934686409830534,1.69118257695519e-09,0.719005707522198,0.120214862876257,4.53484424775197e-10,0.00390730515345932,4.27032115673335e-10,2.69847381191123e-10
"spot50",0.220784462768181,0.0459552520142038,1.26135930899749e-06,0.217839530992187,0.464618263178247,0.000840709915424068,0.00128238873577031,0.000303341672892305,0.0483747893637856
"spot51",0.137232024789906,8.48566219063956e-08,1.76218868610242e-07,0.633433147664085,0.229334371736928,5.52648089281047e-08,2.97081301667361e-08,7.94704439770766e-08,3.02902077388787e-08
"spot52",0.0208308209728072,0.00274487094906701,1.2783476880998e-08,0.971174073121263,7.69969265945973e-08,0.00217991604215502,2.00674406581637e-09,0.00307022378017659,3.34738341150591e-09
"spot53",0.0170989655076328,0.000645973647318012,0.0085391323659932,0.530001719126496,0.439830189951133,0.00327812757789096,0.000124884919756557,0.000480704590723662,3.02313055458643e-07
