"","x"
"1","Excitatory"
"2","Inhibitory"
"3","Excitatory"
"4","OD Mature"
"5","OD Mature"
"6","Excitatory"
"7","Inhibitory"
"8","Endothelial"
"9","Inhibitory"
"10","Inhibitory"
"11","OD Immature"
"12","Inhibitory"
"13","Microglia"
"14","Inhibitory"
"15","Inhibitory"
"16","Inhibitory"
"17","OD Mature"
"18","Inhibitory"
"19","Inhibitory"
"20","Mural"
"21","OD Immature"
"22","OD Mature"
"23","OD Mature"
"24","Inhibitory"
"25","Mural"
"26","OD Mature"
"27","Excitatory"
"28","Inhibitory"
"29","Inhibitory"
"30","OD Mature"
"31","Excitatory"
"32","Excitatory"
"33","OD Immature"
"34","Inhibitory"
"35","Mural"
"36","Inhibitory"
"37","Excitatory"
"38","Endothelial"
"39","OD Mature"
"40","Inhibitory"
"41","Inhibitory"
"42","OD Mature"
"43","Inhibitory"
"44","Inhibitory"
"45","Inhibitory"
"46","Inhibitory"
"47","OD Mature"
"48","OD Mature"
"49","Mural"
"50","Inhibitory"
"51","OD Immature"
"52","OD Mature"
"53","Inhibitory"
"54","Inhibitory"
"55","Excitatory"
"56","Inhibitory"
"57","Inhibitory"
"58","Inhibitory"
"59","Inhibitory"
"60","Excitatory"
"61","Excitatory"
"62","OD Mature"
"63","Inhibitory"
"64","Inhibitory"
"65","Inhibitory"
"66","OD Immature"
"67","Inhibitory"
"68","Inhibitory"
"69","OD Mature"
"70","OD Mature"
"71","OD Mature"
"72","Excitatory"
"73","Inhibitory"
"74","Mural"
"75","OD Immature"
"76","Inhibitory"
"77","Inhibitory"
"78","Inhibitory"
"79","Inhibitory"
"80","Inhibitory"
"81","OD Mature"
"82","Inhibitory"
"83","Inhibitory"
"84","Endothelial"
"85","Inhibitory"
"86","Excitatory"
"87","Inhibitory"
"88","Excitatory"
"89","Inhibitory"
"90","Inhibitory"
"91","Inhibitory"
"92","OD Mature"
"93","Inhibitory"
"94","Inhibitory"
"95","Inhibitory"
"96","Inhibitory"
"97","Inhibitory"
"98","OD Mature"
"99","Astrocyte"
"100","OD Mature"
"101","OD Mature"
"102","Excitatory"
"103","Inhibitory"
"104","Inhibitory"
"105","Inhibitory"
"106","Inhibitory"
"107","OD Mature"
"108","Inhibitory"
"109","Inhibitory"
"110","Endothelial"
"111","Mural"
"112","Inhibitory"
"113","OD Immature"
"114","Inhibitory"
"115","Inhibitory"
"116","Excitatory"
"117","Inhibitory"
"118","Inhibitory"
"119","OD Mature"
"120","Excitatory"
"121","Inhibitory"
"122","Inhibitory"
"123","Inhibitory"
"124","Inhibitory"
"125","Inhibitory"
"126","Inhibitory"
"127","Inhibitory"
"128","Excitatory"
"129","Inhibitory"
"130","Excitatory"
"131","OD Mature"
"132","OD Mature"
"133","OD Mature"
"134","OD Immature"
"135","Excitatory"
"136","Inhibitory"
"137","OD Mature"
"138","OD Mature"
"139","Inhibitory"
"140","Inhibitory"
"141","Inhibitory"
"142","Inhibitory"
"143","OD Mature"
"144","Inhibitory"
"145","Excitatory"
"146","Inhibitory"
"147","Inhibitory"
"148","Endothelial"
"149","Inhibitory"
"150","Microglia"
"151","Excitatory"
"152","Inhibitory"
"153","OD Mature"
"154","Inhibitory"
"155","Inhibitory"
"156","Inhibitory"
"157","OD Mature"
"158","OD Mature"
"159","Inhibitory"
"160","Inhibitory"
"161","Microglia"
"162","Mural"
"163","Inhibitory"
"164","Inhibitory"
"165","OD Immature"
"166","OD Mature"
"167","Inhibitory"
"168","Inhibitory"
"169","Inhibitory"
"170","Mural"
"171","Excitatory"
"172","Inhibitory"
"173","OD Mature"
"174","Inhibitory"
"175","Inhibitory"
"176","Inhibitory"
"177","Inhibitory"
"178","Inhibitory"
"179","OD Mature"
"180","Inhibitory"
"181","Inhibitory"
"182","Inhibitory"
"183","Inhibitory"
"184","Astrocyte"
"185","Inhibitory"
"186","Inhibitory"
"187","Inhibitory"
"188","Excitatory"
"189","OD Mature"
"190","OD Mature"
"191","Inhibitory"
"192","Mural"
"193","Excitatory"
"194","OD Mature"
"195","Inhibitory"
"196","Inhibitory"
"197","OD Mature"
"198","OD Mature"
"199","Excitatory"
"200","Excitatory"
"201","Inhibitory"
"202","OD Mature"
"203","Inhibitory"
"204","Inhibitory"
"205","Inhibitory"
"206","Inhibitory"
"207","Inhibitory"
"208","Inhibitory"
"209","OD Immature"
"210","Inhibitory"
"211","Microglia"
"212","Inhibitory"
"213","OD Immature"
"214","Endothelial"
"215","Excitatory"
"216","OD Mature"
"217","Inhibitory"
"218","Inhibitory"
"219","OD Immature"
"220","Inhibitory"
"221","Inhibitory"
"222","Inhibitory"
"223","OD Mature"
"224","Microglia"
"225","Inhibitory"
"226","OD Mature"
"227","Inhibitory"
"228","OD Mature"
"229","Inhibitory"
"230","Inhibitory"
"231","Inhibitory"
"232","Inhibitory"
"233","Excitatory"
"234","Inhibitory"
"235","Inhibitory"
"236","Inhibitory"
"237","Inhibitory"
"238","Excitatory"
"239","Inhibitory"
"240","Excitatory"
"241","Inhibitory"
"242","Inhibitory"
"243","Astrocyte"
"244","Excitatory"
"245","OD Mature"
"246","Inhibitory"
"247","Excitatory"
"248","Inhibitory"
"249","Excitatory"
"250","Inhibitory"
"251","Inhibitory"
"252","OD Mature"
"253","Inhibitory"
"254","Endothelial"
"255","Inhibitory"
"256","Inhibitory"
"257","Inhibitory"
"258","Inhibitory"
"259","Inhibitory"
"260","Excitatory"
"261","OD Immature"
"262","OD Mature"
"263","OD Mature"
"264","OD Mature"
"265","OD Mature"
"266","OD Mature"
"267","Inhibitory"
"268","Excitatory"
"269","OD Mature"
"270","OD Immature"
"271","Inhibitory"
"272","Inhibitory"
"273","Inhibitory"
"274","Inhibitory"
"275","Excitatory"
"276","Inhibitory"
"277","Inhibitory"
"278","OD Mature"
"279","Excitatory"
"280","OD Mature"
"281","Inhibitory"
"282","Inhibitory"
"283","Inhibitory"
"284","Mural"
"285","Microglia"
"286","Inhibitory"
"287","Microglia"
"288","Inhibitory"
"289","Endothelial"
"290","Inhibitory"
"291","Mural"
"292","Inhibitory"
"293","OD Mature"
"294","Inhibitory"
"295","Inhibitory"
"296","OD Mature"
"297","Excitatory"
"298","OD Mature"
"299","OD Mature"
"300","Inhibitory"
"301","Microglia"
"302","OD Mature"
"303","OD Mature"
"304","Inhibitory"
"305","Inhibitory"
"306","Inhibitory"
"307","Inhibitory"
"308","OD Immature"
"309","Excitatory"
"310","Astrocyte"
"311","Inhibitory"
"312","Endothelial"
"313","OD Mature"
"314","Inhibitory"
"315","Excitatory"
"316","Inhibitory"
"317","Inhibitory"
"318","Inhibitory"
"319","OD Immature"
"320","Endothelial"
"321","Inhibitory"
"322","OD Mature"
"323","Inhibitory"
