"","V1","V2"
"spot1",852.1239951,-3032.857618
"spot2",852.1239951,-3132.857618
"spot3",902.1239951,-3132.857618
"spot4",902.1239951,-3082.857618
"spot5",952.1239951,-3132.857618
"spot6",952.1239951,-3082.857618
"spot7",852.1239951,-2882.857618
"spot8",852.1239951,-2932.857618
"spot9",852.1239951,-2982.857618
"spot10",852.1239951,-2832.857618
"spot11",902.1239951,-2932.857618
"spot12",902.1239951,-2982.857618
"spot13",902.1239951,-2882.857618
"spot14",952.1239951,-2882.857618
"spot15",952.1239951,-2932.857618
"spot16",952.1239951,-2832.857618
"spot17",902.1239951,-2832.857618
"spot18",952.1239951,-2982.857618
"spot19",852.1239951,-2782.857618
"spot20",852.1239951,-2682.857618
"spot21",852.1239951,-2632.857618
"spot22",852.1239951,-2732.857618
"spot23",902.1239951,-2682.857618
"spot24",902.1239951,-2732.857618
"spot25",902.1239951,-2782.857618
"spot26",952.1239951,-2782.857618
"spot27",952.1239951,-2632.857618
"spot28",952.1239951,-2682.857618
"spot29",902.1239951,-2632.857618
"spot30",952.1239951,-2732.857618
"spot31",852.1239951,-2482.857618
"spot32",852.1239951,-2532.857618
"spot33",852.1239951,-2432.857618
"spot34",902.1239951,-2582.857618
"spot35",902.1239951,-2532.857618
"spot36",902.1239951,-2432.857618
"spot37",952.1239951,-2582.857618
"spot38",952.1239951,-2532.857618
"spot39",952.1239951,-2432.857618
"spot40",952.1239951,-2482.857618
"spot41",902.1239951,-2482.857618
"spot42",852.1239951,-2382.857618
"spot43",852.1239951,-2332.857618
"spot44",852.1239951,-2282.857618
"spot45",852.1239951,-2232.857618
"spot46",902.1239951,-2232.857618
"spot47",902.1239951,-2282.857618
"spot48",902.1239951,-2332.857618
"spot49",902.1239951,-2382.857618
"spot50",952.1239951,-2232.857618
"spot51",952.1239951,-2382.857618
"spot52",952.1239951,-2332.857618
"spot53",952.1239951,-2282.857618
"spot54",852.1239951,-2132.857618
"spot55",852.1239951,-2182.857618
"spot56",852.1239951,-2082.857618
"spot57",852.1239951,-2032.857618
"spot58",902.1239951,-2182.857618
"spot59",902.1239951,-2082.857618
"spot60",902.1239951,-2132.857618
"spot61",902.1239951,-2032.857618
"spot62",952.1239951,-2182.857618
"spot63",952.1239951,-2032.857618
"spot64",952.1239951,-2082.857618
"spot65",952.1239951,-2132.857618
"spot66",852.1239951,-1832.857618
"spot67",852.1239951,-1932.857618
"spot68",852.1239951,-1882.857618
"spot69",852.1239951,-1982.857618
"spot70",902.1239951,-1932.857618
"spot71",902.1239951,-1882.857618
"spot72",902.1239951,-1982.857618
"spot73",902.1239951,-1832.857618
"spot74",952.1239951,-1932.857618
"spot75",952.1239951,-1882.857618
"spot76",952.1239951,-1982.857618
"spot77",952.1239951,-1832.857618
"spot78",852.1239951,-1732.857618
"spot79",852.1239951,-1782.857618
"spot80",852.1239951,-1682.857618
"spot81",852.1239951,-1632.857618
"spot82",902.1239951,-1732.857618
"spot83",902.1239951,-1782.857618
"spot84",902.1239951,-1632.857618
"spot85",902.1239951,-1682.857618
"spot86",952.1239951,-1632.857618
"spot87",952.1239951,-1782.857618
"spot88",952.1239951,-1682.857618
"spot89",952.1239951,-1732.857618
"spot90",852.1239951,-1482.857618
"spot91",902.1239951,-1582.857618
"spot92",902.1239951,-1482.857618
"spot93",902.1239951,-1532.857618
"spot94",952.1239951,-1532.857618
"spot95",952.1239951,-1482.857618
"spot96",852.1239951,-1532.857618
"spot97",852.1239951,-1582.857618
"spot98",952.1239951,-1582.857618
"spot99",1002.1239951,-1582.857618
"spot100",1002.1239951,-1532.857618
"spot101",1002.1239951,-1482.857618
"spot102",1052.1239951,-1482.857618
"spot103",1052.1239951,-1582.857618
"spot104",1052.1239951,-1532.857618
"spot105",1102.1239951,-1482.857618
"spot106",1102.1239951,-1582.857618
"spot107",1152.1239951,-1482.857618
"spot108",1152.1239951,-1582.857618
"spot109",1152.1239951,-1532.857618
"spot110",1102.1239951,-1532.857618
"spot111",1002.1239951,-1632.857618
"spot112",1002.1239951,-1782.857618
"spot113",1002.1239951,-1682.857618
"spot114",1052.1239951,-1782.857618
"spot115",1052.1239951,-1732.857618
"spot116",1052.1239951,-1682.857618
"spot117",1052.1239951,-1632.857618
"spot118",1102.1239951,-1732.857618
"spot119",1102.1239951,-1782.857618
"spot120",1102.1239951,-1632.857618
"spot121",1102.1239951,-1682.857618
"spot122",1152.1239951,-1732.857618
"spot123",1152.1239951,-1782.857618
