,Astrocyte,Endothelial,Ependymal,Excitatory,Inhibitory,Microglia,Mural,OD Immature,OD Mature
spot1,3.1995194e-06,4.6442115e-06,1.844347e-05,0.573416,0.4265433,2.7753501e-06,5.2696832e-06,3.6206225e-06,2.8339853e-06
spot2,0.5437122,0.0067339414,0.33413127,8.881698e-06,1.1482673e-05,8.707425e-07,0.015643386,7.967614e-07,0.09975711
spot3,0.5273372,0.028529702,0.36679438,0.02297866,5.3564627e-06,6.9769812e-06,4.340705e-06,0.0029504092,0.051393
spot4,0.14117001,4.403808e-05,0.0010265494,0.4759157,0.3809348,5.164186e-05,6.216479e-05,0.00041828092,0.00037675496
spot5,0.01976086,0.11518008,0.11804995,4.4107514e-06,0.074231185,0.007632965,8.996883e-07,4.0351273e-07,0.6651392
spot6,7.765511e-05,1.4683621e-05,1.7576762e-05,0.012585797,0.9872436,8.747768e-06,3.3122233e-05,8.4419535e-06,1.0461037e-05
spot7,0.107795544,4.6696658e-07,0.015848296,0.7446019,0.08347989,0.00080529996,1.995351e-05,0.030754155,0.016694475
spot8,3.0986023e-06,0.0032323187,2.697254e-06,0.9055465,5.578439e-05,0.09114671,3.5116987e-06,1.1744426e-06,8.111366e-06
spot9,0.010254128,0.022243552,1.8265142e-05,0.10094941,0.032980192,0.0028943147,0.011331429,0.37344638,0.4458823
spot10,0.6836155,2.350884e-06,0.007372676,1.6775846e-05,0.21627724,1.7716094e-06,4.508928e-06,0.09270535,3.9008573e-06
spot11,0.071053505,6.862134e-07,0.028765902,0.5807229,1.4988189e-05,0.0011165732,0.007718796,0.31054738,5.9279802e-05
spot12,0.21658196,0.008077557,0.006222508,0.32390794,0.3755448,0.0050862576,0.020789254,1.0610962e-06,0.04378875
spot13,1.1073932e-06,7.4505584e-07,2.0579382e-06,0.6444277,0.35556418,8.0895666e-07,1.4102857e-06,1.4407417e-06,5.679819e-07
spot14,0.015755609,2.5944319e-06,3.109713e-06,0.5218307,0.17517786,4.1289564e-07,1.262528e-06,0.18189257,0.1053359
