"","Astrocyte","Endothelial","Ependymal","Excitatory","Inhibitory","Microglia","OD Immature","OD Mature","Pericytes"
"spot1",2.42405132231248e-09,1.38853636504098e-09,2.45287005853675e-09,1.18973103083673e-08,0.999999977592841,1.17016748110615e-09,1.56027999626691e-09,9.05377282822924e-10,6.08565989786266e-10
"spot2",0.451790507404634,1.34667584687592e-07,0.540799592894828,3.76298366810364e-05,2.17295490963266e-07,1.00825584801201e-07,0.000334941849844485,0.00578781383565412,0.00124906138969801
"spot3",0.438797814685437,1.87891281076879e-09,0.528018833994497,1.67147435627925e-07,4.53237167867075e-09,1.18570467364696e-09,0.00730949843969855,0.0258736776527365,4.83206421972905e-10
"spot4",5.5785697349754e-09,1.96891084525975e-09,0.00268959092814508,7.84949143089562e-09,0.997310386424099,1.63566733916516e-09,3.08310241496183e-09,1.55610353593847e-09,9.75910921164884e-10
"spot5",2.06181123781585e-09,0.175218490482699,0.213366185016785,8.18371654665026e-10,1.02004080008348e-09,0.000476345282625166,7.40376608059851e-10,0.610938974034537,5.42753436305021e-10
"spot6",4.12632690886823e-08,2.65756469806067e-08,5.06389154001972e-08,1.12758309210777e-07,0.99999969585752,2.06190518488067e-08,2.50496455299023e-08,1.67908091234416e-08,1.04468329114485e-08
"spot7",0.143740822353046,4.08607002810848e-10,4.84041940710689e-09,0.594569685520464,0.237506093092055,8.29821338368413e-10,0.0238785910987207,5.3989677879843e-09,0.000304796457898347
"spot8",2.29932497322343e-08,3.74411197811888e-08,1.07667102317407e-07,0.092794799073109,0.859615785254165,0.0475892086048483,1.64266100419567e-08,1.40773338599103e-08,8.46246224139121e-09
"spot9",3.32779320963597e-07,0.00693969612940359,2.12919167985286e-07,1.50581200852058e-06,0.354975409742713,1.29916823344568e-07,0.340460845057746,0.290923998119253,0.00669786952356314
"spot10",0.389825233590664,9.49919151443001e-10,3.8406396508935e-09,0.0528947587710072,0.538945385833239,1.10173986863386e-09,0.0183346138855897,1.34006365771602e-09,6.87138095274501e-10
"spot11",0.0579614711668931,1.23253123379483e-10,0.027424540432093,0.209010835475439,0.398833203732479,1.7490397445067e-10,0.304365987861414,1.18406584965967e-10,0.00240396091511875
"spot12",0.199886710585063,9.48339702795625e-08,1.52167375597531e-07,0.195180996955514,0.602930322024596,1.02965028644875e-07,1.78517401949626e-08,0.000928131477882491,0.00107347113882927
"spot13",2.18957978906886e-08,1.0264138325177e-08,2.51700195964189e-08,0.00629189824283844,0.993707999898725,1.14857267661069e-08,1.69818288890944e-08,1.06384164237811e-08,5.42250857935644e-09
