,Astrocyte,Endothelial,Ependymal,Excitatory,Inhibitory,Microglia,OD Immature,OD Mature,Pericytes
spot1,0.09500786044365775,0.08546298917366091,0.07668535917517008,0.22352381026022233,0.2554531544364142,0.07367765016980833,0.1014307176146544,0.04713843072395775,0.04162002800245437
spot2,0.1932708852403272,0.09580020564376862,0.26995662497844286,0.06836732206316885,0.0704060307873319,0.07583945109651805,0.0713518777829367,0.08647040878465627,0.06853719362284941
spot3,0.19955383076905048,0.09975212236311166,0.2682664902319038,0.07598158164619513,0.07100429335587637,0.06809643261968078,0.07307827491677336,0.08234638134423099,0.06192059275317736
spot4,0.09769778940871929,0.07923806696497664,0.10406675045941219,0.1760947362219616,0.23703737988182913,0.08900962751543802,0.10572230000980014,0.06196292001759489,0.04917042952026804
spot5,0.07731228461512911,0.10267244722654155,0.1274641332459839,0.04108949139192746,0.044274441018952705,0.05498342525300505,0.03694622676384452,0.4768346277033162,0.038422922781299426
spot6,0.08085328912929618,0.06907371878810259,0.07460576953042411,0.22087138304171017,0.3211081566085759,0.06155684605387867,0.09170655154134004,0.041180130895029525,0.0390441544116428
spot7,0.10737979453403687,0.07544981734489624,0.09076553936847202,0.24127266020007404,0.20350067808115024,0.07274021358973835,0.10662248173741241,0.05695576766047063,0.04531304748374918
spot8,0.08155758471155526,0.07096530878643409,0.08425210228769112,0.23864583569285175,0.2501631624856782,0.08959831130718547,0.09458052142284291,0.04870192660514453,0.041535246700616715
spot9,0.09748613081165784,0.0827473441776379,0.0795640897814893,0.1384673381791048,0.14036629533131262,0.0670827100429875,0.1658669726147988,0.17942551159209166,0.048993607468919516
spot10,0.17873437037430737,0.06920695357702353,0.10280606722574617,0.1620899639612491,0.187371576562319,0.07353074142903232,0.11920258434065915,0.059983220771940536,0.0470745217577229
spot11,0.10424502355657021,0.07609183968877961,0.09306818845103715,0.2119739234516549,0.18240412603379774,0.0681758642922409,0.15916611171171774,0.05532810982288288,0.049546812991318946
spot12,0.11342447540059224,0.08316974603683953,0.09122224586808017,0.21605090043614758,0.20820415207752577,0.07651384077913574,0.09324289460804522,0.06405881265884739,0.0541129321347864
spot13,0.08234595393711876,0.06140208556442192,0.07353465458677923,0.2501063547998573,0.2934042152245654,0.06355877981039579,0.09294027680120343,0.04124513186922602,0.04146254740643206
spot14,0.09821569049293512,0.07421409862961803,0.08413171150078716,0.23179155528250114,0.2089199747978878,0.07330717002127615,0.1207625715097624,0.06875451451323182,0.03990271325200038
