,Astrocyte,Endothelial,Ependymal,Excitatory,Inhibitory,Microglia,OD Immature,OD Mature,Pericytes
spot1,5.499526e-06,7.059622e-06,8.097021e-06,0.04714954,0.9528116,3.9635534e-06,7.5107882e-06,2.436597e-06,4.297613e-06
spot2,0.2998828,3.6407962e-06,0.6817531,1.3943322e-06,1.9439706e-06,1.6669287e-06,2.4656092e-06,0.010643607,0.007709542
spot3,0.3339678,1.3858003e-05,0.63052356,4.2455813e-06,4.7662866e-06,5.1900706e-06,0.0073493617,0.02812836,2.9339565e-06
spot4,0.11285568,0.00016631157,0.2190938,0.00010531606,0.66329587,3.3174085e-05,0.004388391,3.0235271e-05,3.1211835e-05
spot5,2.9178111e-06,0.107066184,0.18866932,1.8432869e-06,2.497465e-06,1.2686493e-05,1.6406029e-06,0.7042411,1.8975729e-06
spot6,0.00022455522,3.3822067e-05,4.3376782e-05,0.00010787486,0.9995545,9.554818e-06,1.1003886e-05,6.079017e-06,9.227843e-06
spot7,0.16698511,1.6866268e-06,1.0916037e-05,0.79612875,6.7613796e-06,2.7011972e-06,0.030783571,0.006072828,7.627261e-06
spot8,3.5869473e-06,1.241657e-05,7.897417e-06,0.779283,0.00014516809,0.2205327,6.068782e-06,4.489696e-06,4.7124604e-06
spot9,9.524929e-06,0.017811768,6.4074056e-06,5.7534748e-05,2.7887047e-05,1.2010576e-05,0.5689331,0.3892028,0.02393898
spot10,0.8055561,6.0028983e-06,8.985671e-06,3.6651152e-05,0.053526975,5.03187e-06,0.14085138,3.791111e-06,5.0159015e-06
spot11,0.0823828,3.4765146e-06,0.0348049,0.29264534,1.3829905e-05,8.508477e-06,0.583037,2.4443143e-06,0.007101706
spot12,0.23673964,0.02845572,0.056962907,0.35965917,0.26688638,0.0053070313,4.1326416e-06,0.030523056,0.015462049
spot13,2.3428395e-06,4.4182116e-06,2.9964706e-06,0.9873066,0.012668946,2.7028748e-06,7.37424e-06,1.5634084e-06,3.1208338e-06
spot14,5.9588997e-06,2.9238822e-06,3.6065912e-06,0.5787802,5.0976916e-05,1.4109967e-06,0.32232383,0.09882796,3.1480931e-06
spot15,0.084298834,7.3736e-06,1.1125491e-05,0.5297316,8.874519e-06,1.5555463e-06,0.38525844,2.9402584e-06,0.00067938905
spot16,2.604933e-06,5.1029288e-06,5.846674e-06,0.6664983,0.15373443,0.0017780269,5.1215616e-06,0.17796874,1.8237201e-06
spot17,0.20446742,5.0614995e-06,1.2760813e-05,0.7954589,4.438276e-05,4.2390375e-06,2.7966373e-06,1.5266428e-06,2.9224623e-06
spot18,2.9521807e-05,0.43481183,0.0074455254,0.0005245042,9.828435e-05,0.5570755,4.8763222e-06,5.185737e-06,4.7559124e-06
spot19,3.0990666e-06,4.438747e-06,3.409381e-06,0.96392906,0.0299557,5.780473e-06,4.2927517e-05,2.866389e-06,0.0060526673
spot20,4.8839956e-06,0.0228869,1.1928863e-05,9.646347e-06,0.14998794,3.5753972e-06,1.7205295e-05,0.82707226,5.614875e-06
spot21,0.02763186,0.053103954,0.00017021193,0.52493656,0.39409602,6.9891694e-06,2.1456573e-05,1.7446995e-05,1.5545222e-05
spot22,0.35804284,9.384204e-06,0.0059482935,3.883448e-06,5.8288965e-06,7.934693e-05,4.4066683e-06,0.62595916,0.0099468315
spot23,0.20535332,0.3363841,0.00047689665,5.8806836e-05,0.16431347,2.4719175e-06,4.220157e-06,0.2725193,0.020887472
spot24,3.6972756e-06,0.12615576,4.0123127e-06,0.12116673,3.57167e-05,0.16561607,0.31756455,0.26945066,2.8085024e-06
spot25,0.56060874,1.1852685e-05,9.619455e-06,0.14985804,5.4497374e-05,0.0011638525,4.994459e-06,0.2777431,0.010545318
spot26,3.0131544e-06,7.874377e-06,3.3043211e-06,0.5537354,6.33969e-06,3.034099e-06,0.4406699,2.713539e-06,0.005568446
spot27,2.674024e-05,1.1926702e-05,8.175415e-06,0.24705291,0.7359955,1.7044513e-05,0.0070458525,2.8034424e-06,0.00983903
spot28,0.16271894,0.28865957,5.992264e-06,4.383809e-06,5.968495e-06,0.032681383,0.5090506,4.8048514e-06,0.006868381
spot29,0.41057858,8.211896e-05,0.007997417,0.50229234,9.729359e-05,1.6371247e-05,0.05058842,0.028337127,1.02332115e-05
spot30,0.9462361,5.4692314e-06,3.5102334e-05,6.2446734e-06,1.1564836e-05,0.039672453,6.7773517e-06,0.004379154,0.009647104
spot31,0.06983547,8.848157e-06,2.0605352e-05,0.84604657,0.043073986,2.84572e-06,0.008562147,0.019676918,0.012772601
spot32,4.8438615e-06,0.1094924,0.004595488,0.04912411,0.4348578,0.19179435,2.1621693e-06,0.2101265,2.2439933e-06
spot33,0.075518064,0.4549426,8.597253e-06,7.5335397e-06,0.44441104,0.004604193,5.3420017e-06,0.018555148,0.0019475324
spot34,0.053494915,0.0037835892,0.057317697,0.045171045,0.47617275,3.55466e-06,0.30538177,0.058652878,2.1797676e-05
spot35,0.07457471,7.550046e-06,1.9105293e-05,0.8758873,8.315235e-05,5.1013144e-06,6.096384e-06,0.008123984,0.041293055
spot36,1.647204e-05,1.9320312e-05,5.7297795e-05,0.9867419,4.0615796e-05,8.494024e-06,7.4156574e-06,0.013096444,1.2115314e-05
spot37,0.00010753194,0.3794983,0.04034387,0.31520203,0.2648192,8.187386e-06,1.0897074e-05,4.77093e-06,5.1969173e-06
spot38,2.1686128e-06,2.755479e-06,0.008002334,0.51341033,1.2366734e-05,3.2731602e-06,0.47856042,4.0597574e-06,2.2557033e-06
spot39,0.5083716,8.769334e-06,1.7064096e-05,0.49154165,4.388336e-05,4.308264e-06,5.0848785e-06,3.900814e-06,3.7964926e-06
spot40,0.29316255,3.892187e-06,2.869524e-05,0.00062305236,8.1714625e-06,0.42815575,1.1933009e-05,0.26680416,0.011201713
spot41,0.15651952,1.7505272e-05,0.022525558,6.344042e-06,0.3480801,0.0032082105,0.015022759,0.44792023,0.0066997726
spot42,0.060849912,4.922954e-06,0.0008590184,0.30835357,0.6299114,5.412104e-06,9.307682e-06,3.8984376e-06,2.5003396e-06
spot43,0.06322973,4.63093e-05,5.9023982e-06,0.17898777,0.69099474,0.0017920915,0.06492901,1.2212747e-05,2.2068423e-06
spot44,0.19636324,4.0364234e-06,7.943996e-06,0.10740649,0.6294869,0.008340912,0.016410356,0.039750468,0.002229635
spot45,0.31097785,6.4020787e-06,2.7652635e-05,3.0650648e-05,0.68578774,0.0031590052,5.191766e-06,2.7158333e-06,2.7739354e-06
spot46,2.0481514e-06,0.5331847,3.1799225e-06,7.1149097e-06,0.1476718,2.415708e-06,0.3190986,2.5197083e-05,4.989691e-06
spot47,2.136991e-06,4.864964e-06,4.0617583e-06,0.23342925,0.7447859,2.031586e-06,5.4555394e-06,0.021761218,5.11725e-06
spot48,0.16266148,0.021955254,1.2872905e-05,0.41318184,0.23948285,0.0034446467,1.0547301e-05,0.15924759,2.9581854e-06
spot49,6.612195e-06,0.22153316,4.479449e-06,0.7496882,0.02875979,1.96405e-06,2.3470811e-06,1.1128261e-06,2.1889257e-06
spot50,0.1644618,0.04459767,7.548834e-05,8.894039e-06,0.58537525,5.8344285e-06,2.4703239e-05,0.19847226,0.0069781383
spot52,7.310837e-06,6.0448506e-06,7.608993e-06,0.99102527,0.00012108242,0.0067008664,0.0019928731,0.00013679764,2.164281e-06
spot53,5.423234e-06,3.123927e-06,6.879407e-06,1.1572078e-05,0.9688446,0.007502998,0.006575372,0.014952521,0.00209749
spot54,0.5972087,0.33293742,9.306967e-06,1.0373746e-05,1.7685992e-05,0.0048672757,0.009978942,0.044174638,0.010795664
spot55,0.14877379,5.822737e-06,0.012692442,5.6823214e-05,0.8283013,0.010152749,4.1454905e-06,9.300391e-06,3.5793673e-06
spot56,0.2025519,0.17361471,0.033755716,0.15340549,0.23094998,0.0045527904,0.04641912,1.4741117e-06,0.15474887
spot57,2.3578793e-06,0.24722609,5.2945975e-06,1.5590947e-05,0.30848026,1.9896208e-06,3.353972e-06,0.44426146,3.5405978e-06
spot58,1.4270921e-06,1.9132801e-06,1.9414358e-06,0.23278612,0.76600075,0.0012020258,1.6158231e-06,3.0147721e-06,1.1338722e-06
spot59,2.3375822e-05,0.42990544,0.051993974,1.42829895e-05,0.26634184,0.012179403,0.058925226,5.5647947e-06,0.18061088
spot60,3.195517e-06,1.8557951e-06,9.054936e-06,0.1040743,0.45491287,0.25319692,0.02902229,0.15502231,0.0037571548
spot61,2.1159146e-06,1.8444758e-06,2.0684256e-06,0.013765709,0.66595477,2.5660818e-06,0.31947827,1.9611073e-06,0.0007906479
spot62,0.26140925,7.357325e-06,7.547809e-06,4.6193312e-05,0.31799394,0.34675986,0.07376538,6.6618145e-06,3.8238786e-06
spot63,0.049313225,5.74853e-06,0.0522329,0.098796174,0.61216944,4.742686e-06,0.18747228,3.5105556e-06,2.0207283e-06
spot64,1.7319055e-06,1.6364811e-06,2.6871833e-06,0.13110133,0.8029305,0.0009874133,0.05502637,2.9487323e-06,0.009945443
