"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0016032","GO:0016032","viral process","36/422","421/18903",5.66922477166588e-12,2.52960809311732e-08,1.91918177533447e-08,"APOE/AXL/CD74/CHMP1B/CHMP3/CHMP5/CSDE1/EIF2AK2/EIF3A/GALNT1/GSN/HEXIM1/HLA-DRB1/HMGB1/HSP90AB1/HSPA8/IFI16/IFITM1/IGF2R/ITGAV/ITGB1/JUN/LARP1/NUCKS1/P4HB/PABPC1/PARP9/PCBP1/PLSCR1/PPIA/RAB7A/RSF1/SSB/ST6GAL1/STAT1/ZDHHC20",36
"GO:1903311","GO:1903311","regulation of mRNA metabolic process","30/422","309/18903",1.54368906067196e-11,3.44397029435915e-08,2.61289685216896e-08,"AHCYL1/CELF1/CSDE1/DDX17/HNRNPA0/HNRNPA2B1/HNRNPC/HNRNPK/HNRNPU/HSPA8/IGF2BP2/LARP1/NPM1/PABPC1/PABPC4/PRDX6/PUM1/RBFOX2/RBM8A/ROCK1/SAP18/SERBP1/SLTM/SRSF2/THRAP3/VIM/YBX1/YBX3/ZFP36L1/ZFP36L2",30
"GO:0006402","GO:0006402","mRNA catabolic process","23/422","248/18903",9.20289218538681e-09,1.13711543082037e-05,8.627151443814e-06,"CELF1/CSDE1/GSPT1/HNRNPA0/HNRNPC/HNRNPU/IGF2BP2/LARP1/LSM4/NPM1/PABPC1/PABPC4/PUM1/RBM8A/ROCK1/SERBP1/SSB/THRAP3/VIM/YBX1/YBX3/ZFP36L1/ZFP36L2",23
"GO:0061013","GO:0061013","regulation of mRNA catabolic process","20/422","190/18903",1.01937734721683e-08,1.13711543082037e-05,8.627151443814e-06,"CELF1/CSDE1/HNRNPA0/HNRNPC/HNRNPU/IGF2BP2/LARP1/NPM1/PABPC1/PABPC4/PUM1/RBM8A/ROCK1/SERBP1/THRAP3/VIM/YBX1/YBX3/ZFP36L1/ZFP36L2",20
"GO:0043488","GO:0043488","regulation of mRNA stability","19/422","175/18903",1.43803534579544e-08,1.28330274258785e-05,9.73625615174342e-06,"CELF1/CSDE1/HNRNPA0/HNRNPC/HNRNPU/IGF2BP2/LARP1/NPM1/PABPC1/PABPC4/PUM1/ROCK1/SERBP1/THRAP3/VIM/YBX1/YBX3/ZFP36L1/ZFP36L2",19
"GO:1903312","GO:1903312","negative regulation of mRNA metabolic process","14/422","94/18903",2.11542569876667e-08,1.57317157798281e-05,1.19354544688309e-05,"CSDE1/HNRNPA0/HNRNPA2B1/HNRNPC/HNRNPK/HNRNPU/IGF2BP2/LARP1/NPM1/PABPC1/SAP18/THRAP3/YBX1/YBX3",14
"GO:0043487","GO:0043487","regulation of RNA stability","19/422","187/18903",4.24356968897423e-08,2.70497256460043e-05,2.05222858943475e-05,"CELF1/CSDE1/HNRNPA0/HNRNPC/HNRNPU/IGF2BP2/LARP1/NPM1/PABPC1/PABPC4/PUM1/ROCK1/SERBP1/THRAP3/VIM/YBX1/YBX3/ZFP36L1/ZFP36L2",19
"GO:0008380","GO:0008380","RNA splicing","31/422","469/18903",8.01548790728904e-08,4.04568934698916e-05,3.06941351292013e-05,"CELF1/DDX17/HNRNPA2B1/HNRNPA3/HNRNPC/HNRNPF/HNRNPK/HNRNPR/HNRNPU/HSPA8/LSM3/LSM4/NPM1/PABPC1/PRDX6/PTBP3/RBFOX2/RBM8A/RRAGC/SAP18/SF3B1/SRSF11/SRSF2/SRSF5/STRAP/THRAP3/TMBIM6/TSEN34/UBL5/YBX1/ZCRB1",31
"GO:0050684","GO:0050684","regulation of mRNA processing","16/422","139/18903",8.83614905043723e-08,4.04568934698916e-05,3.06941351292013e-05,"AHCYL1/CELF1/DDX17/HNRNPA2B1/HNRNPK/HNRNPU/HSPA8/NPM1/PRDX6/RBFOX2/RBM8A/SAP18/SLTM/SRSF2/THRAP3/ZFP36L1",16
"GO:0000377","GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","25/422","329/18903",1.10022617047062e-07,4.04568934698916e-05,3.06941351292013e-05,"CELF1/DDX17/HNRNPA2B1/HNRNPA3/HNRNPC/HNRNPF/HNRNPK/HNRNPR/HNRNPU/HSPA8/LSM3/LSM4/NPM1/PABPC1/PRDX6/RBFOX2/RBM8A/SAP18/SF3B1/SRSF2/SRSF5/STRAP/THRAP3/UBL5/ZCRB1",25
