"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1903311","GO:1903311","regulation of mRNA metabolic process","51/814","309/18903",1.0308889830399e-16,5.36268448977357e-13,4.03891452092054e-13,"AHCYL1/AKT1/APEX1/CELF1/CNOT7/CSDE1/DDX17/DDX5/DHX36/EIF4A3/HNRNPA0/HNRNPA2B1/HNRNPAB/HNRNPC/HNRNPK/HNRNPL/HNRNPU/HSPA8/IGF2BP2/LARP1/NCL/NPM1/NUDT21/PABPC1/PABPC4/PAIP1/PAPOLA/PCID2/PRDX6/PUM1/RBFOX2/RBM25/RBM39/RBM8A/RNPS1/ROCK1/SAP18/SERBP1/SF1/SLTM/SON/SRSF10/SRSF2/THRAP3/TIA1/VIM/WTAP/YBX1/YBX3/ZFP36L1/ZFP36L2",51
"GO:0016032","GO:0016032","viral process","58/814","421/18903",3.7393766439784e-15,9.72611865098781e-12,7.32524203625663e-12,"APCS/AXL/CANX/CAV1/CD46/CHMP1B/CHMP3/CHMP4C/CHMP5/CNOT7/CSDE1/CSNK1A1/CTSL/DDX3X/EEF1A1/EIF2AK2/EIF3A/GALNT1/GSN/HEXIM1/HLA-DRB1/HMGB1/HSP90AB1/HSPA8/IFI16/IFITM1/IGF2R/ILF3/ITGAV/ITGB1/ITGB6/JUN/LARP1/MGAT4A/NFIA/NUCKS1/PABPC1/PAIP1/PARP9/PCBP1/PCBP2/PKN2/PLSCR1/PPIA/RAB1A/RAB7A/RAN/RSAD2/RSF1/SPCS1/SSB/ST6GAL1/STAT1/STAU1/STOM/TRIM14/VAPA/ZDHHC20",58
"GO:0043484","GO:0043484","regulation of RNA splicing","35/814","180/18903",4.84437090493533e-14,8.40013914915786e-11,6.32657842391905e-11,"AHNAK2/CCNL1/CDK12/CELF1/DDX17/DDX5/ENY2/GRSF1/HNRNPA2B1/HNRNPF/HNRNPH3/HNRNPK/HNRNPL/HNRNPU/HSPA8/NCL/NPM1/PRDX6/PTBP3/RBFOX2/RBM25/RBM39/RBM8A/RNPS1/SAP18/SF1/SON/SRSF10/SRSF2/SRSF5/TAF9/THRAP3/TIA1/TMBIM6/WTAP",35
"GO:0050684","GO:0050684","regulation of mRNA processing","30/814","139/18903",1.79885904745948e-13,2.33941619122105e-10,1.76193509859057e-10,"AHCYL1/CELF1/DDX17/DDX5/DHX36/HNRNPA2B1/HNRNPK/HNRNPL/HNRNPU/HSPA8/NCL/NPM1/NUDT21/PAPOLA/PRDX6/RBFOX2/RBM25/RBM39/RBM8A/RNPS1/SAP18/SF1/SLTM/SON/SRSF10/SRSF2/THRAP3/TIA1/WTAP/ZFP36L1",30
"GO:0032970","GO:0032970","regulation of actin filament-based process","51/814","406/18903",6.47280080764304e-12,6.73430196027182e-09,5.0719504433784e-09,"ACTG1/ADD3/AKAP13/ARAP1/ARF1/ARF6/ARFGEF1/ARHGAP18/ARPC1A/ARPC1B/ARPC2/ARPC3/ARPC5/ATP2A2/BAIAP2L2/CAPZA2/CAV1/CD2AP/CD47/CDC42/CYFIP1/DSC2/DSG2/DSP/EPS8/FLNA/GRB2/GSN/IQGAP1/MDK/MTPN/NCK1/NCK2/NEDD9/PAK2/PAM/PIK3CA/RAC1/RHOA/RHOB/RHOBTB3/RND3/ROCK1/SRI/TACSTD2/TAOK1/TJP1/TMOD3/TRPM4/VASP/WASF2",51
"GO:0097193","GO:0097193","intrinsic apoptotic signaling pathway","42/814","298/18903",1.21758595080279e-11,1.05564701934602e-08,7.95062264717192e-09,"AKT1/ARL6IP5/CAV1/CD24/CD44/CEBPB/CLU/CYCS/DDX3X/DDX5/DNAJA1/ERP29/HERPUD1/HIF1A/HINT1/HNRNPK/HYOU1/IFI16/IFI6/NCK1/NCK2/PARK7/PERP/PPIA/PTTG1IP/SELENOK/SELENOS/SERINC3/SFN/SKIL/SOD2/STK24/TAF9/TMBIM6/TMEM109/TPT1/UBB/UBQLN1/URI1/VDAC2/XBP1/YBX3",42
"GO:0048024","GO:0048024","regulation of mRNA splicing, via spliceosome","24/814","109/18903",3.02583396890922e-11,2.24862690089511e-08,1.69355699733536e-08,"CELF1/DDX17/DDX5/HNRNPA2B1/HNRNPK/HNRNPL/HNRNPU/HSPA8/NCL/NPM1/PRDX6/RBFOX2/RBM25/RBM39/RBM8A/RNPS1/SAP18/SF1/SON/SRSF10/SRSF2/THRAP3/TIA1/WTAP",24
"GO:0008380","GO:0008380","RNA splicing","53/814","469/18903",1.39520349486301e-10,9.07231072534671e-08,6.83282553668436e-08,"AHNAK2/CCNL1/CDK12/CELF1/DDX17/DDX5/DHX15/EIF4A3/ENY2/GRSF1/HNRNPA2B1/HNRNPA3/HNRNPC/HNRNPF/HNRNPH3/HNRNPK/HNRNPL/HNRNPR/HNRNPU/HSPA8/LSM3/NCL/NPM1/PABPC1/PPIG/PRDX6/PRPF40A/PTBP3/RBFOX2/RBM25/RBM39/RBM8A/RNPS1/RRAGC/RSRC1/SAP18/SF1/SF3B1/SNRPG/SON/SRSF10/SRSF11/SRSF2/SRSF5/STRAP/TAF9/THRAP3/TIA1/TMBIM6/TSEN34/WTAP/YBX1/ZCRB1",53
"GO:2001242","GO:2001242","regulation of intrinsic apoptotic signaling pathway","29/814","172/18903",2.67672095188911e-10,1.54714471019191e-07,1.16523454771126e-07,"AKT1/CAV1/CD44/CLU/DDX3X/DNAJA1/ERP29/HERPUD1/HIF1A/HNRNPK/HYOU1/NCK1/NCK2/PARK7/PPIA/PTTG1IP/SELENOS/SERINC3/SKIL/SOD2/TAF9/TMBIM6/TPT1/UBB/UBQLN1/URI1/VDAC2/XBP1/YBX3",29
"GO:0019058","GO:0019058","viral life cycle","41/814","319/18903",3.89626695403051e-10,2.02683806948667e-07,1.5265163792528e-07,"APCS/AXL/CAV1/CD46/CHMP1B/CHMP3/CHMP4C/CHMP5/CNOT7/CTSL/DDX3X/EEF1A1/EIF2AK2/GSN/HLA-DRB1/HMGB1/HSP90AB1/HSPA8/IFI16/IFITM1/ILF3/ITGAV/ITGB1/ITGB6/LARP1/NFIA/NUCKS1/PABPC1/PCBP1/PCBP2/PKN2/PLSCR1/PPIA/RAB1A/RAB7A/RSAD2/SPCS1/STAU1/STOM/TRIM14/VAPA",41
"GO:0090150","GO:0090150","establishment of protein localization to membrane","37/814","270/18903",4.62337225458161e-10,2.0694205818255e-07,1.55858746748305e-07,"ARL6IP1/ATG3/ATP1B1/CALM3/CCDC47/CD24/EMC4/EMC7/GOLGA4/GOLPH3/GORASP2/HSP90AA1/HSPA5/KRT18/LYPLA1/MACF1/NACA/NACA2/PRKCI/RAB10/RAB11A/RAB3GAP2/RAB7A/RAB8A/SDCBP/SEC61B/SEC62/SRP14/SRP72/STOM/TOMM20/TOMM7/TRAM1/VAMP3/VPS35/ZDHHC20/ZDHHC7",37
