"","ligand","target","weight"
"1","PATJ","HLA-DRA",0.0243008169247319
"2","PATJ","ITGB1",0.00767195795723693
"3","PATJ","VEGFA",0.0136120292423454
"4","ENG","CLU",0.0124410621961883
"5","ENG","VEGFA",0.0761607584549192
"6","TNFSF9","HLA-DRA",0.0726927247218696
"7","TNFSF9","LYZ",0.0711048716926282
"8","TNFSF9","VEGFA",0.0783663321772374
"9","STX1A","CXCL1",0.0634307069571151
"10","STX1A","VEGFA",0.00979340074442697
"11","WNT2B","CD44",0.0276467412146627
"12","WNT2B","CXCL1",0.0262441559445663
"13","WNT2B","VEGFA",0.0345919457126248
"14","ADAM17","CD44",0.0678901618475739
"15","ADAM17","VEGFA",0.0782257432623502
"16","NAMPT","VEGFA",0.0849684953481776
"17","SEMA3B","VEGFA",0.0651732840187711
"18","HLA-DQA2","LYZ",0.0231541015362422
"19","HLA-DQA2","VEGFA",0.0113009473014866
"20","HLA-G","VEGFA",0.0702858383639985
"21","SEMA4A","VEGFA",0.0482668837331736
"22","SERPINA1","VEGFA",0.0690341774984864
"23","CADM1","GNAS",0.0458737616332082
"24","CADM1","VEGFA",0.0513791708261738
"25","PLAT","VEGFA",0.0737644921826059
"26","CALR","CALM2",0.0629261221682137
"27","WNT7A","CD44",0.0273916307989051
"28","WNT7A","CXCL1",0.0268646818317989
"29","WNT7A","VEGFA",0.0327005253560754
"30","SPP1","CD44",0.0671629601227668
"31","SPP1","MMP7",0.0673943747271618
"32","SPP1","VEGFA",0.021507979788012
"33","COPA","CALM3",0.0227552265579017
"34","COPA","CD9",0.022939375940096
"35","COPA","VEGFA",0.0109472471039365
"36","TIMP1","CD44",0.0671993599262282
"37","TIMP1","VEGFA",0.0230158676203596
"38","CALM3","CD9",0.0248522476506939
"39","CALM3","COPA",0.022288965982104
"40","CALM3","VEGFA",0.018062821702107
"41","TGM2","CD44",0.0503603784473372
"42","TGM2","CLU",0.0500090599165903
"43","TGM2","IL1RN",0.0509552836950343
"44","TGM2","TGM2",0.0510573487570734
"45","COL9A2","HLA-DRB1",0.023313255264958
"46","COL9A2","VEGFA",0.0120244659071524
"47","SEMA4D","CD24",0.00823827155248787
"48","SEMA4D","CD44",0.00823170011075996
"49","SEMA4D","VEGFA",0.0157983389636416
"50","FAM3C","CALM3",0.0216587816793476
"51","FAM3C","VEGFA",0.00987705017919174
"52","CDH1","MMP7",0.0420847872438809
"53","CDH1","VEGFA",0.0183365032327066
"54","NEGR1","CD44",0.00654420940144683
"55","NEGR1","CLU",0.00641544467343092
"56","NEGR1","VEGFA",0.0119782701457586
"57","CALM2","CD44",0.0667097634834584
"58","CALM2","VEGFA",0.0184543123517289
"59","CD9","CALM3",0.0231900069598038
"60","CD9","COPA",0.0219285854812201
"61","CD9","VEGFA",0.0139403400431597
"62","AREG","CD24",0.0699015945415147
"63","AREG","VEGFA",0.12620100203867
"64","CFH","CD44",0.00878076451241292
"65","CFH","VEGFA",0.0177139798113182
"66","IL1RN","CXCL1",0.0135255304664505
"67","IL1RN","VEGFA",0.0765493596628289
"68","NCAM1","VEGFA",0.016168357756493
"69","TNFRSF14","ST6GAL1",0.023229299635462
"70","TNFRSF14","TCN1",0.0229074001076083
"71","CXCL16","VEGFA",0.0105703273224266
"72","TFF2","CLEC2D",0.0217633528865961
"73","TFF2","VEGFA",0.0119430820267151
"74","EFNB1","VEGFA",0.0146166580647256
"75","CCL5","CD44",0.0650107150171086
"76","CCL5","VEGFA",0.0185890540737123
"77","CXCL5","VEGFA",0.0127636619332354
"78","UXS1","CD44",0.00744095082856831
"79","UXS1","VEGFA",0.0139529396191089
"80","KIAA0319L","VEGFA",0.0112609063182195
"81","VEGFB","VEGFA",0.0176640260653377
"82","CD7","VEGFA",0.0149478825761876
"83","TNFSF14","ST6GAL1",0.0236311623952713
"84","GLG1","CD44",0.0161542736489213
"85","GLG1","CXCL1",0.0191657014350146
"86","GLG1","IL1RN",0.015940372626785
"87","GLG1","VEGFA",0.0251763129892038
"88","CD82","CD44",0.0114831478264061
"89","CD82","VEGFA",0.0209132739903569
"90","MSN","VEGFA",0.0148223770986597
"91","CCL20","CD44",0.0048910226060186
"92","CCL20","VEGFA",0.0116613731120016
"93","ANXA1","VEGFA",0.01507335805862
"94","LIN7C","VEGFA",0.0107007782570193
"95","TCTN1","VEGFA",0.00925545078227974
"96","TGOLN2","VEGFA",0.0101735406507546
"97","SDC4","VEGFA",0.0139784728974835
"98","HLA-A","VEGFA",0.016287713820422
"99","NECTIN1","CD44",0.0094946759736614
"100","NECTIN1","VEGFA",0.0184764145940065
"101","GRN","VEGFA",0.0707564552280816
"102","TGFB1","SEMA3C",0.227417900746583
"103","TGFB1","VEGFA",0.238916670467428
"104","ALOX5AP","VEGFA",0.0130753306245042
"105","HBEGF","CRISP3",0.0714969550752287
"106","HAS2","CD44",0.0093686160195024
"107","HAS2","VEGFA",0.0155174722134267
"108","ITGB1","VEGFA",0.0167995015743906
"109","LAMC2","CD44",0.00705650318260474
"110","LAMC2","VEGFA",0.0126183822014647
"111","PLXNA2","VEGFA",0.0148337672394125
"112","CD55","VEGFA",0.0118592812044557
"113","ADAM15","VEGFA",0.0118900682251522
"114","PECAM1","CD44",0.00867954958801195
"115","PECAM1","VEGFA",0.01814519606597
"116","CD44","VEGFA",0.0212426112724447
"117","GSTP1","VEGFA",0.0162175615221771
"118","CD47","VEGFA",0.0180198185656143
"119","SARAF","CXCL1",0.00666507645792262
"120","SARAF","VEGFA",0.0120350269110682
"121","SPINT1","VEGFA",0.0112541077199158
"122","ARF1","VEGFA",0.0125195554032658
"123","F11R","VEGFA",0.0134120455058666
"124","TYROBP","VEGFA",0.0124750943014462
"125","C3","VEGFA",0.0117769842148833
"126","LRPAP1","VEGFA",0.0140031307150449
"127","HLA-E","VEGFA",0.0146428340370058
"128","MCAM","VEGFA",0.00988113408610278
"129","LGALS3BP","VEGFA",0.012741071693701
"130","HLA-B","VEGFA",0.0141347469346753
"131","SERPING1","VEGFA",0.0148237278448024
"132","HSP90B1","VEGFA",0.0204781423413798
"133","SEMA4C","VEGFA",0.0134990901741491
"134","S100A9","VEGFA",0.0292768331755369
"135","CLDN3","VEGFA",0.0186500789841991
"136","TIMP2","VEGFA",0.0168544200389968
"137","LCN2","CXCL1",0.04270169112643
"138","LCN2","VEGFA",0.0162735140551436
"139","CEACAM1","VEGFA",0.0129044376876802
"140","GNAS","VEGFA",0.0135602079015201
"141","ADAM10","VEGFA",0.0232218548284766
"142","TNFSF12","CD44",0.148268243614767
"143","TNFSF12","LAMC2",0.151484035865172
"144","CTSD","VEGFA",0.0224575374225779
"145","APOE","VEGFA",0.0162699276306564
"146","ICAM1","CXCL1",0.0137773845112821
"147","ICAM1","VEGFA",0.0242479279151577
"148","MPZL3","VEGFA",0.011413120043743
"149","S100A4","VEGFA",0.0321629296763798
"150","CD160","CD44",0.00591460617278694
"151","CD160","VEGFA",0.0102615159038827
"152","B2M","VEGFA",0.0164665371924288
"153","PSAP","CD44",0.0096113842624509
"154","PSAP","VEGFA",0.0156811208011467
"155","TRAF2","VEGFA",0.017972348518545
"156","CEACAM6","VEGFA",0.0121700058473108
"157","RTN4","CXCL1",0.00671954597550629
"158","RTN4","VEGFA",0.0128507241026988
"159","HLA-DMA","VEGFA",0.015516095112393
"160","MFGE8","VEGFA",0.0148191180651469
"161","CLDN2","CLU",0.0134066607976257
"162","CLDN2","IL1RN",0.0134364630470914
"163","CLDN2","MMP7",0.0132710353310129
"164","CLDN2","RTN4",0.0145023008919942
"165","CLDN2","VEGFA",0.0200089639731448
"166","LRIG1","VEGFA",0.0133509430171036
"167","SPON2","B2M",0.0172613983910667
"168","SPON2","IL1RN",0.017167330994889
"169","SPON2","VEGFA",0.0278477739549912
"170","TFF1","VEGFA",0.0280378062190031
"171","PTPRC","VEGFA",0.0229108560609553
"172","CALM1","VEGFA",0.0153811588836575
"173","ICAM3","CXCL1",0.00835993262153155
"174","ICAM3","VEGFA",0.0145142529757193
"175","HLA-DMB","CD44",0.00703001960935017
"176","HLA-DMB","VEGFA",0.0110579331396262
"177","LGALS3","VEGFA",0.0166322929302959
"178","LGALS9","VEGFA",0.0150059916046368
"179","S100A10","VEGFA",0.0152545849712973
"180","LGALS1","VEGFA",0.0164737346766737
"181","HLA-DPB1","VEGFA",0.0121197732398746
"182","SEMA7A","VEGFA",0.0119997741967601
"183","EZR","VEGFA",0.0171984151604315
"184","CXCL17","VEGFA",0.00970026261770884
"185","CD99","VEGFA",0.00974391333244926
"186","HLA-DQB1","VEGFA",0.0133705571227354
"187","ATP1B1","VEGFA",0.00988618188688798
"188","HLA-DRB5","VEGFA",0.0143563129135101
"189","HLA-DQA1","VEGFA",0.0172692192963929
"190","MICB","VEGFA",0.0112311320683368
"191","ITGB2","VEGFA",0.0169957879616091
"192","GPI","VEGFA",0.0126025272387745
"193","PLXNA1","VEGFA",0.0154392096254179
"194","SEMA4B","VEGFA",0.0115452745098502
"195","TNFSF10","VEGFA",0.112145073286521
"196","HLA-DRA","VEGFA",0.0143816406587177
"197","COL6A1","VEGFA",0.0149801027670932
"198","PTDSS1","VEGFA",0.0137005682675559
"199","TSPAN5","VEGFA",0.00971507585475267
"200","ANXA2","VEGFA",0.0168294772524532
"201","DUSP18","CXCL1",0.00975043877410089
"202","DUSP18","VEGFA",0.0158489733105601
"203","TCN1","CLEC2D",0.0218719707039088
"204","TCN1","ST6GAL1",0.024250432188863
"205","TCN1","VEGFA",0.00985978833706258
