"","ligand","target","weight"
"1","CALR","CALM2",0.0629261221682137
"2","COPA","CALM3",0.0227552265579017
"3","COPA","CD9",0.022939375940096
"4","EPCAM","MMP7",0.0544281338498702
"5","EPCAM","VCAN",0.0504778833661375
"6","IL18BP","CALM3",0.0223690747168907
"7","FLRT3","ST6GAL1",0.0233894206450228
"8","FLRT3","VCAN",0.00697767324859083
"9","DKK1","CD24",0.0727675297713477
"10","DKK1","PAM",0.0186288409343954
"11","CSF1","VCAN",0.145803864137012
"12","SEMA4D","CD24",0.00823827155248787
"13","SEMA4D","MUC1",0.00861685404623363
"14","CALM3","CD9",0.0248522476506939
"15","THBS1","PECAM1",0.0667547903481647
"16","CDH1","MMP7",0.0420847872438809
"17","TGFB1","SEMA3C",0.227417900746583
"18","TGFB1","VCAN",0.22887300680075
"19","SPP1","MMP7",0.0673943747271618
"20","FAM3C","CALM3",0.0216587816793476
"21","AGT","APOE",0.0407976128637332
"22","AGT","MMP7",0.0428678971846877
"23","TFF2","CLEC2D",0.0217633528865961
"24","SDC2","MUC1",0.0121483683499079
"25","SDC2","RTN4",0.0118645701366712
"26","PDGFC","AREG",0.0925753871320224
"27","PDGFC","SEMA3C",0.0883193281697707
"28","TCN1","CLEC2D",0.0218719707039088
"29","TCN1","ST6GAL1",0.024250432188863
"30","TNFSF14","ST6GAL1",0.0236311623952713
"31","CD9","CALM3",0.0231900069598038
"32","TNFRSF14","ST6GAL1",0.023229299635462
"33","VEGFB","MUC1",0.00739325770803351
"34","FGA","MUC1",0.00809583364967774
"35","LAMB2","MUC1",0.00938145273237298
"36","CD55","VCAN",0.00704106635967832
"37","CD82","MUC1",0.0108481365913106
"38","HSP90B1","MUC1",0.0105337715435343
"39","CFD","MUC1",0.00671294082043922
"40","APOC1","MUC1",0.00633081527920293
"41","HLA-E","MUC1",0.00823319547297338
"42","TNFSF12","LAMC2",0.151484035865172
"43","SEMA3C","MUC1",0.00906422827161169
"44","SEMA3C","RTN4",0.00925208209466656
"45","CLDN2","MMP7",0.0132710353310129
"46","CLDN2","RTN4",0.0145023008919942
"47","MMP1","VCAN",0.0112725736310109
"48","TYROBP","MUC1",0.00693256164766009
"49","S100A9","MUC1",0.0157479939175861
"50","CXCL5","MUC1",0.00552129220603136
"51","ADAM17","MUC1",0.0671417349294645
"52","ARF1","VCAN",0.00698282465696744
"53","SIRPA","MUC1",0.00942332308712014
"54","SERPINE1","MUC1",0.0111941984510123
"55","HLA-B","MUC1",0.00753141774356014
"56","FURIN","AREG",0.0473424225114405
"57","FURIN","TGM2",0.0466026726928048
"58","ALOX5AP","VCAN",0.00742058382922055
"59","LTB","LAMC2",0.0743286308114211
"60","SERPING1","MUC1",0.00757884308322453
"61","HLA-DRB5","MUC1",0.00839675032791865
"62","LGALS3","MUC1",0.00809505772184239
"63","AREG","CD24",0.0699015945415147
"64","ANG","VCAN",0.011230008847086
"65","PTPRM","MMP7",0.0124946303853077
"66","WNT5B","HLA-DRB1",0.0246277341474411
"67","APP","LAMC2",0.0470373421385341
"68","WNT10A","HLA-DRB1",0.0246480200678907
"69","SEMA4B","MUC1",0.00635546211113853
"70","PTPRC","MUC1",0.0150008178325246
"71","MDK","MUC1",0.0103563827376269
"72","MDK","VCAN",0.00993234128856059
"73","TNFSF9","HLA-DRA",0.0726927247218696
"74","CEACAM6","VCAN",0.00755421995841332
"75","GAS6","VCAN",0.0214608471971456
"76","IFITM1","VCAN",0.0191466301482359
"77","TGM2","TGM2",0.0510573487570734
"78","TSPAN3","MUC1",0.00821976807172241
"79","TSPAN3","VCAN",0.00819169877007222
"80","ANGPT2","MUC1",0.012660680352943
"81","BACE2","VCAN",0.0133537416113656
"82","PLAU","AREG",0.0572940259414914
"83","PLAU","MUC1",0.0600543838864849
"84","CLDN1","AREG",0.0485690136200586
"85","CLEC11A","GSTP1",0.0146086481130323
"86","CCL2","AREG",0.0730189919835059
"87","FLRT2","VCAN",0.00690216468397016
